2024-06-03,QEH,Bexley,Pathway 2,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,1
2024-06-03,QEH,Greenwich,Pathway 3,E7: capacity : residential/nursing home care not yet available (pathway 3).,1,1
2024-06-03,UHL,Lewisham,Pathway 0,E6: capacity : mental health admitted patient care not yet available (pathway 2).,1,1
2024-06-04,QEH,Bexley,Pathway 1,D2: interface process : other home-based social care service arrangements still underway (pathway 1).,1,2
2024-06-04,QEH,Greenwich,Pathway 2,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",4,7
2024-06-04,UHL,Bexley,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,1,2
2024-06-04,UHL,Greenwich,Pathway 0,D9: interface process : homeless with no recourse to public funds.,1,1
2024-06-04,UHL,Greenwich,Pathway 3,E7: capacity : residential/nursing home care not yet available (pathway 3).,2,2
2024-06-04,UHL,Lewisham,Pathway 2,E6: capacity : mental health admitted patient care not yet available (pathway 2).,1,1
2024-06-05,QEH,Greenwich,Pathway 1,"E1: capacity : home-based rehabilitation, reablement or recovery services not yet available (pathway 1).",1,2
2024-06-05,QEH,Greenwich,Pathway 2,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",2,4
2024-06-05,QEH,Other,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,1,1
2024-06-05,UHL,Greenwich,Pathway 3,E7: capacity : residential/nursing home care not yet available (pathway 3).,2,4
2024-06-05,UHL,Lewisham,Pathway 0,D4: interface process : housing provision arrangement for homelessness still underway (pathway 0 or 1).,1,3
2024-06-05,UHL,Lewisham,Pathway 1,E2: capacity : other home-based social care service not yet available (pathway 1).,1,1
2024-06-05,UHL,Lewisham,Pathway 2,E6: capacity : mental health admitted patient care not yet available (pathway 2).,1,2
2024-06-05,UHL,Other,Pathway 3,E7: capacity : residential/nursing home care not yet available (pathway 3).,1,2
2024-06-06,QEH,Bexley,Pathway 1,"D1: interface process : home based rehabilitation, reablement or recovery service arrangements still underway (pathway 1).",2,2
2024-06-06,QEH,Bexley,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,3,10
2024-06-06,UHL,Greenwich,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,2,7
2024-06-06,UHL,Lewisham,Pathway 0,D4: interface process : housing provision arrangement for homelessness still underway (pathway 0 or 1).,1,4
2024-06-07,QEH,Bexley,Pathway 1,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",1,5
2024-06-07,QEH,Greenwich,Pathway 3,"D7: interface process : end-of-life care, including fast-track continuing healthcare arrangement still underway?(pathway 1 or 3).",1,5
2024-06-07,QEH,Other,Pathway 2,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,2,8
2024-06-07,UHL,Bexley,Pathway 1,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,2,9
2024-06-07,UHL,Bexley,Pathway 3,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,2,10
2024-06-08,QEH,Bexley,Pathway 0,D3: interface process : other home-based community health service arrangements still underway (pathway 1).,2,5
2024-06-08,QEH,Greenwich,Pathway 1,D2: interface process : other home-based social care service arrangements still underway (pathway 1).,1,3
2024-06-08,QEH,Other,Pathway 2,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,2,10
2024-06-09,QEH,Bexley,Pathway 3,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,3,21
2024-06-09,QEH,Greenwich,Pathway 0,D6: interface process : residential/nursing home care arrangements still underway (pathway 3).,1,4
2024-06-10,QEH,Bexley,Pathway 2,C2: care transfer hub process : awaiting necessary referrals by care transfer hub.,1,7
2024-06-10,QEH,Greenwich,Pathway 1,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,3,3
2024-06-10,UHL,Lewisham,Pathway 1,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,1,8
2024-06-10,UHL,Other,Pathway 1,E10: capacity : equipment and associated training not yet delivered (pathway 1-3).,1,8
2024-06-11,QEH,Greenwich,Pathway 1,"D5: interface process : bed-based rehabilitation, reablement or recovery service arrangements still underway (pathway 2).",1,1
2024-06-11,QEH,Greenwich,Pathway 2,"E5: capacity : bed-based rehabilitation, reablement or recovery services not yet available (pathway 2).",1,4
2024-06-11,QEH,Greenwich,Pathway 3,D11: interface process : patient/family/carer choice discussions on package still underway.,1,6
2024-06-11,UHL,Lewisham,Pathway 1,C1: care transfer hub process : waiting for confirmation of immediate care needs and pathway.,2,10
2024-06-11,UHL,Other,Pathway 0,E7: capacity : residential/nursing home care not yet available (pathway 3).,1,8
2024-06-12,QEH,Bexley,Pathway 0,"D1: interface process : home based rehabilitation, reablement or recovery service arrangements still underway (pathway 1).",2,2
