date,site,Borough,Pathway,NMCTR external delay,Total external delay days
03/06/2024,QEH,Bexley,Pathway 0,2,2
03/06/2024,QEH,Bexley,Pathway 1,1,1
03/06/2024,QEH,Bexley,Pathway 2,4,4
03/06/2024,QEH,Bexley,Pathway 3,10,10
03/06/2024,QEH,Greenwich,Pathway 1,3,3
03/06/2024,QEH,Greenwich,Pathway 2,9,9
03/06/2024,QEH,Greenwich,Pathway 3,9,9
03/06/2024,QEH,Other,Pathway 1,1,1
03/06/2024,QEH,Other,Pathway 2,1,1
03/06/2024,UHL,Bexley,Pathway 1,1,1
03/06/2024,UHL,Bexley,Pathway 3,2,2
03/06/2024,UHL,Greenwich,Pathway 2,1,1
03/06/2024,UHL,Greenwich,Pathway 3,1,1
03/06/2024,UHL,Lewisham,Pathway 0,4,4
03/06/2024,UHL,Lewisham,Pathway 1,10,10
03/06/2024,UHL,Lewisham,Pathway 2,2,2
03/06/2024,UHL,Lewisham,Pathway 3,13,13
03/06/2024,UHL,Other,Pathway 0,2,2
03/06/2024,UHL,Other,Pathway 1,1,1
04/06/2024,QEH,Bexley,Pathway 0,3,4
04/06/2024,QEH,Bexley,Pathway 1,4,7
04/06/2024,QEH,Bexley,Pathway 2,6,9
04/06/2024,QEH,Bexley,Pathway 3,7,12
04/06/2024,QEH,Greenwich,Pathway 0,2,2
04/06/2024,QEH,Greenwich,Pathway 1,4,6
04/06/2024,QEH,Greenwich,Pathway 2,10,17
04/06/2024,QEH,Greenwich,Pathway 3,9,17
04/06/2024,QEH,Other,Pathway 1,2,3
04/06/2024,QEH,Other,Pathway 2,1,2
04/06/2024,UHL,Bexley,Pathway 1,2,3
04/06/2024,UHL,Bexley,Pathway 3,2,4
04/06/2024,UHL,Greenwich,Pathway 0,2,2
04/06/2024,UHL,Greenwich,Pathway 1,1,1
04/06/2024,UHL,Greenwich,Pathway 2,1,2
04/06/2024,UHL,Greenwich,Pathway 3,3,4
04/06/2024,UHL,Lewisham,Pathway 0,6,10
04/06/2024,UHL,Lewisham,Pathway 1,13,22
04/06/2024,UHL,Lewisham,Pathway 2,4,6
04/06/2024,UHL,Lewisham,Pathway 3,15,27
04/06/2024,UHL,Other,Pathway 0,2,4
04/06/2024,UHL,Other,Pathway 1,1,2
04/06/2024,UHL,Other,Pathway 3,1,1
05/06/2024,QEH,Bexley,Pathway 0,3,4
05/06/2024,QEH,Bexley,Pathway 1,4,8
05/06/2024,QEH,Bexley,Pathway 2,7,17
05/06/2024,QEH,Bexley,Pathway 3,7,18
05/06/2024,QEH,Greenwich,Pathway 0,1,1
05/06/2024,QEH,Greenwich,Pathway 1,8,14
05/06/2024,QEH,Greenwich,Pathway 2,9,21
05/06/2024,QEH,Greenwich,Pathway 3,9,25
05/06/2024,QEH,Other,Pathway 2,2,4
05/06/2024,QEH,Other,Pathway 3,1,1
05/06/2024,UHL,Bexley,Pathway 1,2,5
05/06/2024,UHL,Bexley,Pathway 3,3,7
05/06/2024,UHL,Greenwich,Pathway 0,2,3
05/06/2024,UHL,Greenwich,Pathway 1,1,2
05/06/2024,UHL,Greenwich,Pathway 2,1,3
05/06/2024,UHL,Greenwich,Pathway 3,3,7
05/06/2024,UHL,Lewisham,Pathway 0,9,19
05/06/2024,UHL,Lewisham,Pathway 1,15,27
05/06/2024,UHL,Lewisham,Pathway 2,4,9
05/06/2024,UHL,Lewisham,Pathway 3,14,39
05/06/2024,UHL,Other,Pathway 0,1,3
05/06/2024,UHL,Other,Pathway 1,1,3
05/06/2024,UHL,Other,Pathway 2,1,1
05/06/2024,UHL,Other,Pathway 3,1,2
06/06/2024,QEH,Bexley,Pathway 0,3,6
06/06/2024,QEH,Bexley,Pathway 1,5,9
06/06/2024,QEH,Bexley,Pathway 2,5,15
06/06/2024,QEH,Bexley,Pathway 3,10,29
06/06/2024,QEH,Greenwich,Pathway 0,1,1
06/06/2024,QEH,Greenwich,Pathway 1,12,24
06/06/2024,QEH,Greenwich,Pathway 2,10,32
06/06/2024,QEH,Greenwich,Pathway 3,8,30
06/06/2024,QEH,Other,Pathway 1,1,2
06/06/2024,QEH,Other,Pathway 2,2,6
06/06/2024,UHL,Bexley,Pathway 0,1,1
06/06/2024,UHL,Bexley,Pathway 1,2,7
06/06/2024,UHL,Bexley,Pathway 3,3,10
06/06/2024,UHL,Greenwich,Pathway 0,2,5
06/06/2024,UHL,Greenwich,Pathway 1,2,2
06/06/2024,UHL,Greenwich,Pathway 2,2,5
06/06/2024,UHL,Greenwich,Pathway 3,3,10
06/06/2024,UHL,Lewisham,Pathway 0,10,28
06/06/2024,UHL,Lewisham,Pathway 1,14,35
06/06/2024,UHL,Lewisham,Pathway 2,6,15
06/06/2024,UHL,Lewisham,Pathway 3,14,50
06/06/2024,UHL,Other,Pathway 0,1,4
06/06/2024,UHL,Other,Pathway 1,1,4
06/06/2024,UHL,Other,Pathway 2,2,3
06/06/2024,UHL,Other,Pathway 3,1,3
07/06/2024,QEH,Bexley,Pathway 0,7,14
07/06/2024,QEH,Bexley,Pathway 1,4,10
07/06/2024,QEH,Bexley,Pathway 2,3,11
07/06/2024,QEH,Bexley,Pathway 3,11,42
07/06/2024,QEH,Greenwich,Pathway 0,4,5
07/06/2024,QEH,Greenwich,Pathway 1,8,18
07/06/2024,QEH,Greenwich,Pathway 2,9,37
07/06/2024,QEH,Greenwich,Pathway 3,8,36
07/06/2024,QEH,Other,Pathway 2,2,8
07/06/2024,UHL,Bexley,Pathway 0,1,2
07/06/2024,UHL,Bexley,Pathway 1,2,9
07/06/2024,UHL,Bexley,Pathway 3,3,13
07/06/2024,UHL,Greenwich,Pathway 0,1,3
07/06/2024,UHL,Greenwich,Pathway 1,3,8
07/06/2024,UHL,Greenwich,Pathway 2,2,7
07/06/2024,UHL,Greenwich,Pathway 3,3,13
07/06/2024,UHL,Lewisham,Pathway 0,8,29
07/06/2024,UHL,Lewisham,Pathway 1,9,36
07/06/2024,UHL,Lewisham,Pathway 2,6,21
07/06/2024,UHL,Lewisham,Pathway 3,15,68
07/06/2024,UHL,Other,Pathway 0,1,5
07/06/2024,UHL,Other,Pathway 1,1,5
07/06/2024,UHL,Other,Pathway 2,2,5
07/06/2024,UHL,Other,Pathway 3,1,4
08/06/2024,QEH,Bexley,Pathway 0,6,18
08/06/2024,QEH,Bexley,Pathway 1,4,14
08/06/2024,QEH,Bexley,Pathway 2,3,14
08/06/2024,QEH,Bexley,Pathway 3,11,53
08/06/2024,QEH,Greenwich,Pathway 0,4,9
08/06/2024,QEH,Greenwich,Pathway 1,4,15
08/06/2024,QEH,Greenwich,Pathway 2,9,46
08/06/2024,QEH,Greenwich,Pathway 3,8,44
08/06/2024,QEH,Other,Pathway 2,2,10
08/06/2024,UHL,Bexley,Pathway 0,1,3
08/06/2024,UHL,Bexley,Pathway 1,2,11
08/06/2024,UHL,Bexley,Pathway 3,3,16
08/06/2024,UHL,Greenwich,Pathway 0,1,4
08/06/2024,UHL,Greenwich,Pathway 1,3,11
08/06/2024,UHL,Greenwich,Pathway 2,2,9
08/06/2024,UHL,Greenwich,Pathway 3,3,16
08/06/2024,UHL,Lewisham,Pathway 0,7,33
08/06/2024,UHL,Lewisham,Pathway 1,8,41
08/06/2024,UHL,Lewisham,Pathway 2,6,27
08/06/2024,UHL,Lewisham,Pathway 3,15,83
